parupeneus bifasciatus,parupeneus trifasciatus,misspelling
parupeneus ciliatus,parupeneus ciliatus,FishBase
parupeneus cyclostomus,parupeneus cyclostomus,FishBase
parupeneus forsskali,parupeneus forsskali,FishBase
parupeneus ghanam,?????,
parupeneus indicus,parupeneus indicus,FishBase
parupeneus macronemus,parupeneus macronemus,FishBase
parupeneus nansen,parupeneus nansen,FishBase
parupeneus pleurostigma,parupeneus pleurostigma,FishBase
parupeneus rubescens,parupeneus rubescens,FishBase
parupeneus trifasciatus,parupeneus trifasciatus,FishBase
pastinachus sephen,pastinachus sephen,FishBase
pempheris adusta,pempheris adusta,FishBase
penaeus indicus,upeneus indicus,misspelling
penaeus semisulcatus,Penaeus semisulcatus,WoRMS
pinjalo pinjalo,pinjalo pinjalo,FishBase
platax pinnatus,platax pinnatus,FishBase
platax teira,platax teira,FishBase
plectorhinchus chrysurus,?????,
plectorhinchus chubbi,plectorhinchus chubbi,FishBase
plectorhinchus diagrammus,plectorhinchus diagrammus,FishBase
plectorhinchus filamentosus,?????,
plectorhinchus flavomaculatus,plectorhinchus flavomaculatus,FishBase
plectorhinchus gaterinus,plectorhinchus gaterinus,FishBase
plectorhinchus hamrur,?????,
plectorhinchus pictus,plectorhinchus pictus,FishBase
plectorhinchus picus,plectorhinchus picus,FishBase
plectorhinchus plagiodesmus,plectorhinchus plagiodesmus,FishBase
plectorhinchus playfairi,plectorhinchus playfairi,FishBase
plectorhinchus schotaf,plectorhinchus schotaf,FishBase
plectorhinchus sordidus,plectorhinchus sordidus,FishBase
plectorhinchus vittatus,plectorhinchus vittatus,FishBase
plicofollis dussumieri,plicofollis dussumieri,FishBase
plicofollis polystaphylodon,plicofollis polystaphylodon,FishBase
plotosus lineatus,plotosus lineatus,FishBase
polydactylus sextarius,polydactylus sextarius,FishBase
polysteganus coeruleopunctatus,polysteganus coeruleopunctatus,FishBase
pomacanthus sexstriatus,pomacanthus sexstriatus,FishBase
pomadasys argenteus,pomadasys argenteus,FishBase
pomadasys maculatus,pomadasys maculatus,FishBase
pomadasys multimaculatus,pomadasys multimaculatus,FishBase
portunus pelagicus,Portunus pelagicus,WoRMS
priacanthus blochii,priacanthus blochii,FishBase
priacanthus sagittarius,priacanthus sagittarius,FishBase
pristiapogon fraenatus,pristiapogon fraenatus,FishBase
psettodes erumei,psettodes erumei,FishBase
pseudodax moluccanus,pseudodax moluccanus,FishBase
pseudorhombus arsius,pseudorhombus arsius,FishBase
pteragogus flagellifer,pteragogus flagellifer,FishBase
pterocaesio capricornis,pterocaesio capricornis,FishBase
pterocaesio chrysozona,pterocaesio chrysozona,FishBase
pterocaesio flavifasciata,pterocaesio flavifasciata,FishBase
pterocaesio tile,pterocaesio tile,FishBase
pterois miles,pterois miles,FishBase
pterophyllum scalare,pterophyllum scalare,FishBase
pygoplites diacanthus,pygoplites diacanthus,FishBase
rachycentron canadum,rachycentron canadum,FishBase
rastileger kanagurta,?????,
rhabdosargus thorpei,rhabdosargus thorpei,FishBase
rhinoptera javanica,rhinoptera javanica,FishBase
rhynchobatus djiddensis,rhynchobatus djiddensis,FishBase
sarda orientalis,sarda orientalis,FishBase
sardinella albella,sardinella albella,FishBase
sardinella neglecta,sardinella neglecta,FishBase
sargocentron violaceum,sargocentron violaceum,FishBase
sargocentron xantherythrum,sargocentron xantherythrum,FishBase
saurida gracilis,saurida gracilis,FishBase
saurida tumbil,saurida tumbil,FishBase
scarus caudofasciatus,scarus caudofasciatus,FishBase
scarus chameleon,scarus chameleon,FishBase
scarus dubius,scarus dubius,FishBase
scarus frenatus,scarus frenatus,FishBase
scarus ghobban,scarus ghobban,FishBase
scarus globiceps,scarus globiceps,FishBase
scarus leptoscarus,?????,
scarus niger,scarus niger,FishBase
scarus rubroviolaceus,scarus rubroviolaceus,FishBase
scarus russelii,scarus russelii,FishBase
scarus scaber,scarus scaber,FishBase
scarus tricolor,scarus tricolor,FishBase
scarus undulatus,?????,
schilbe uranoscopus,schilbe uranoscopus,FishBase
scolopsis bimaculata,scolopsis bimaculata,FishBase
scolopsis fasciatus,?????,
scolopsis variegatus,?????,
scomberoides tol,scomberoides tol,FishBase
scomberomorus commerson,scomberomorus commerson,FishBase
scomberomorus plurilineatus,scomberomorus plurilineatus,FishBase
scylla serrata,Scylla serrata,WoRMS
scyllarides tridacnophaga,Scyllarides tridacnophaga,WoRMS
secuta minuta,?????,
selar crumenophthalmus,selar crumenophthalmus,FishBase
sepia latimanus,Sepia latimanus,WoRMS
sepia pharaonis,Sepia pharaonis,WoRMS
sepia prashadi,Sepia prashadi,WoRMS
sepia trygonina,Sepia trygonina,WoRMS
seriolina nigrofasciata,seriolina nigrofasciata,FishBase
siganus argenteus,siganus argenteus,FishBase
siganus canaliculatus,siganus canaliculatus,FishBase
siganus rivulatus,siganus rivulatus,FishBase
siganus stellatus,siganus stellatus,FishBase
siganus sutor,siganus sutor,FishBase
sorsogona prionota,sorsogona prionota,FishBase
sphraena jello,sphyraena jello,misspelling
sphyraena barracuda,sphyraena barracuda,FishBase
sphyraena forsteri,sphyraena forsteri,FishBase
sphyraena obtusata,sphyraena obtusata,FishBase
sphyraena plurilineatus,?????,
sphyrna lewini,sphyrna lewini,FishBase
spratelloides delicatulus,spratelloides delicatulus,FishBase
spratelloides gracilis,spratelloides gracilis,FishBase
stethojulis strigiveuter,stethojulis strigiventer,misspelling
stolephorus indicus,stolephorus indicus,FishBase
strongylura leiura,strongylura leiura,FishBase
sufflamen fraenatum,sufflamen fraenatum,FishBase
synodontus gracilis,?????,
synodus binotatus,synodus binotatus,FishBase
synodus dermatogenys,synodus dermatogenys,FishBase
taeniamia fucata,taeniamia fucata,FishBase
terrapon jarbua,terapon jarbua,misspelling
thalamita crenata,Thranita crenata,WoRMS
thalamita poissoni,Thalamita poissonii,WoRMS
thalassoma hebraicum,thalassoma hebraicum,FishBase
thalassoma lunare,thalassoma lunare,FishBase
thalassoma purpureum,thalassoma purpureum,FishBase
thalassoma trilobatum,thalassoma trilobatum,FishBase
thryssa setirostris,thryssa setirostris,FishBase
thryssa vitrirostris,thryssa vitrirostris,FishBase
thunnus obesus,thunnus obesus,FishBase
thunnus tonggol,thunnus tonggol,FishBase
thysanophrys chiltonae,thysanophrys chiltonae,FishBase
trachinocephalus myops,trachinocephalus myops,FishBase
trachinotus baillonii,trachinotus baillonii,FishBase
trachinotus botla,trachinotus botla,FishBase
triaenodon obesus,triaenodon obesus,FishBase
tripterodon orbis,tripterodon orbis,FishBase
tylosurus crocodlus,tylosurus crocodilus,misspelling
tylosurus melanotus,tylosurus melanotus,FishBase
upeneus taeniopterus,upeneus taeniopterus,FishBase
uroteuthis duvaucelii,Uroteuthis (Photololigo) duvaucelii,WoRMS
variola albimarginata,variola albimarginata,FishBase
xiphias gladius,xiphias gladius,FishBase
xyrichtys pavo,Iniistius pavo,WoRMS
xyrichtys pentadatylus,?????,
zanclus cornutus,zanclus cornutus,FishBase
zebrasoma scopas,zebrasoma scopas,FishBase
zebrasoma velifer,zebrasoma velifer,FishBase
